,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,STREET,Lat,Long,Location
45252,E13,304,0,2024-06-13 11:49:00+00,2024,6,Thursday ,11,COLUMBUS AVE,42.31771491906661,-71.09823111482771,"(42.31771491906661, -71.09823111482771)"
45257,D4,142,0,2024-05-28 18:30:00+00,2024,5,Tuesday  ,18,NEWBURY ST,42.34840532084056,-71.08688391940139,"(42.34840532084056, -71.08688391940139)"
45269,E13,304,0,2024-05-28 12:09:00+00,2024,5,Tuesday  ,12,COLUMBUS AVE,42.31771491906661,-71.09823111482771,"(42.31771491906661, -71.09823111482771)"
45289,C11,351,0,2024-02-04 11:34:00+00,2024,2,Sunday   ,11,DORCHESTER AVE,42.29919647170326,-71.06047032650575,"(42.29919647170326, -71.06047032650575)"
45295,C11,373,0,2024-02-26 19:26:00+00,2024,2,Monday   ,19,FREEPORT ST,42.292340194692144,-71.04804052529062,"(42.292340194692144, -71.04804052529062)"
45357,D14,768,0,2023-11-17 16:07:00+00,2023,11,Friday   ,16,MARKET ST,42.35524865013419,-71.14966880287777,"(42.35524865013419, -71.14966880287777)"
45384,E18,496,0,2023-10-01 17:12:00+00,2023,10,Sunday   ,17,HYDE PARK AVE,42.26701046863793,-71.12096250389341,"(42.26701046863793, -71.12096250389341)"
45467,D4,143,0,2024-01-14 13:10:00+00,2024,1,Sunday   ,13,RING RD,42.34813113277459,-71.08027053338732,"(42.34813113277459, -71.08027053338732)"
45483,B2,,0,2023-07-13 20:46:00+00,2023,7,Thursday ,20,DUDLEY ST,42.31735425056758,-71.06583025569181,"(42.31735425056758, -71.06583025569181)"
45538,D4,271,0,2023-10-26 15:11:00+00,2023,10,Thursday ,15,WASHINGTON ST,42.33621895343226,-71.07733814570015,"(42.33621895343226, -71.07733814570015)"
45552,D4,627,0,2024-01-14 10:19:00+00,2024,1,Sunday   ,10,BOYLSTON ST,42.34412585328354,-71.09942833974739,"(42.34412585328354, -71.09942833974739)"
45614,A1,112,0,2024-04-03 13:26:00+00,2024,4,Wednesday,13,WASHINGTON ST,42.35512291409929,-71.06088025712485,"(42.35512291409929, -71.06088025712485)"
45618,E13,576,0,2024-03-30 14:23:00+00,2024,3,Saturday ,14,BOYLSTON ST,42.31631624486537,-71.10297274103947,"(42.31631624486537, -71.10297274103947)"
